Width,Height,Icing Thickness,Flavour,Wedding,Fancy,Price
14,7,10,vanilla,No,Very,26.09
8,6,9,chocolate,No,No,19.5
8,7,11,vanilla,No,Somewhat,18.08
8,7,7,vanilla,No,Somewhat,28.85
13,8,7,lemon,No,Somewhat,86.77
7,8,5,strawberry,No,No,20.46
9,4,7,vanilla,No,Very,15.84
6,8,8,vanilla,No,Somewhat,16.59
10,6,7,strawberry,No,Somewhat,35.52
12,10,11,vanilla,Yes,No,8.61
8,7,11,lemon,No,Somewhat,14.5
14,10,6,chocolate,No,Somewhat,105.84
6,12,12,chocolate,Yes,Somewhat,9.27
10,9,11,chocolate,No,Somewhat,34.77
4,5,9,chocolate,No,Somewhat,4.31
12,12,8,vanilla,Yes,Somewhat,67.22
14,7,7,strawberry,No,No,44.45
11,6,10,strawberry,No,Somewhat,31.19
7,7,7,strawberry,No,Somewhat,18.88
14,9,8,marzipan,No,Somewhat,93.03
9,5,9,chocolate,No,Somewhat,18.94
9,7,5,vanilla,No,Somewhat,27.85
9,6,11,chocolate,No,No,10.69
12,6,7,chocolate,No,Somewhat,61.63
4,10,7,vanilla,Yes,No,5.35
7,8,5,chocolate,No,Somewhat,18.14
9,8,9,vanilla,No,Very,21.64
6,10,4,chocolate,Yes,No,6.94
4,6,9,chocolate,No,Somewhat,5.66
10,8,10,vanilla,No,Somewhat,19.27
13,8,6,lemon,No,Very,81.24
8,5,7,chocolate,No,Somewhat,19.7
8,6,9,chocolate,No,No,18.34
12,6,9,chocolate,No,Somewhat,58.2
8,6,8,chocolate,No,Somewhat,22.64
8,14,6,chocolate,Yes,Somewhat,48.74
12,8,8,vanilla,No,Somewhat,50.03
6,6,10,vanilla,No,Somewhat,11.35
9,7,8,strawberry,No,Somewhat,26.5
10,6,7,chocolate,No,Somewhat,38.04
11,9,9,strawberry,No,Somewhat,52.92
11,6,6,vanilla,No,Somewhat,46.86
9,5,11,vanilla,No,Very,9.45
8,9,4,vanilla,No,Very,18.37
12,5,7,vanilla,No,Somewhat,32.04
6,9,5,chocolate,No,Somewhat,17.44
12,12,9,vanilla,Yes,Somewhat,43.51
9,6,7,chocolate,No,No,23.72
9,7,6,vanilla,No,No,38.41
6,5,5,chocolate,No,Somewhat,10.63
7,6,10,vanilla,No,Somewhat,14.21
12,10,6,lemon,Yes,Somewhat,78.26
9,9,11,strawberry,No,No,14.88
5,7,9,strawberry,No,Somewhat,6.05
6,7,11,marzipan,No,Somewhat,7.07
12,10,10,vanilla,Yes,Somewhat,40.85
13,9,8,strawberry,No,No,48.99
4,6,6,vanilla,No,Very,6.62
8,11,8,vanilla,Yes,Somewhat,23.6
7,9,6,lemon,No,Somewhat,40.22
7,6,7,vanilla,No,Somewhat,13.81
8,7,8,vanilla,No,No,23.23
11,5,8,vanilla,No,No,23.39
4,4,6,chocolate,No,Somewhat,4.28
7,7,10,lemon,No,No,9.62
13,8,7,chocolate,No,No,65.85
11,6,8,vanilla,No,No,25.87
6,7,4,vanilla,No,No,10.87
10,8,9,vanilla,No,Somewhat,33.26
13,6,6,chocolate,No,Somewhat,60.9
12,6,9,vanilla,No,Very,27.06
9,5,4,vanilla,No,No,14.18
8,6,8,lemon,No,Somewhat,25.27
10,6,6,lemon,No,Somewhat,42.62
12,10,8,vanilla,No,No,36.86
6,11,11,vanilla,Yes,No,6.22
7,9,7,lemon,No,No,19.84
6,7,10,strawberry,No,Very,6.14
9,14,11,vanilla,Yes,Somewhat,28.56
7,10,11,vanilla,No,Somewhat,19.06
8,7,6,chocolate,No,No,36.54
8,7,8,vanilla,No,Somewhat,17.16
5,5,7,chocolate,No,Somewhat,5.1
8,12,7,chocolate,Yes,Somewhat,30.12
8,7,6,vanilla,No,No,28.1
10,9,10,chocolate,No,Somewhat,37.84
12,8,6,vanilla,No,Somewhat,76.43
9,7,6,chocolate,No,Very,47.63
11,7,9,vanilla,No,Very,39.04
10,14,7,vanilla,Yes,Somewhat,48.41
10,5,8,marzipan,No,Somewhat,19.05
11,5,4,chocolate,No,No,40.66
7,10,5,chocolate,No,Somewhat,32.71
13,7,11,vanilla,No,Very,23.56
11,6,9,chocolate,No,Somewhat,37.25
11,7,5,lemon,No,No,39.87
9,9,6,lemon,No,No,67.61
11,6,6,strawberry,No,No,51.17
6,6,9,chocolate,No,Somewhat,11.59
10,10,9,chocolate,No,No,41.75
11,6,9,chocolate,No,Somewhat,42.34
5,5,6,vanilla,No,Very,7.67
11,9,11,chocolate,No,Somewhat,52.13
13,6,7,chocolate,No,No,54.65
4,7,8,vanilla,No,Somewhat,3.89
12,7,10,chocolate,No,Very,42.97
10,6,12,vanilla,No,No,12.04
11,7,8,vanilla,No,Somewhat,40.46
7,10,6,lemon,Yes,Somewhat,31.97
5,11,10,chocolate,Yes,No,3.91
12,6,7,vanilla,No,Somewhat,42.99
6,7,5,vanilla,No,Somewhat,11.68
7,10,10,lemon,Yes,Somewhat,12.18
8,8,5,vanilla,No,Somewhat,24.59
12,8,9,chocolate,No,Somewhat,36.26
8,4,6,chocolate,No,Somewhat,18.22
8,7,8,vanilla,No,Somewhat,17.68
4,6,5,vanilla,No,Somewhat,5.05
6,9,8,chocolate,No,Somewhat,15.65
12,8,11,chocolate,No,Somewhat,29.1
7,7,5,marzipan,No,Somewhat,14.95
11,9,7,strawberry,No,No,48.51
7,6,8,chocolate,No,No,12.44
9,8,10,chocolate,No,No,24.76
5,8,5,lemon,No,No,9.13
6,5,7,vanilla,No,Somewhat,12.89
11,11,7,chocolate,Yes,No,27.9
9,9,6,vanilla,No,Somewhat,43.86
11,5,8,vanilla,No,Somewhat,37.88
11,9,7,lemon,No,Very,76.23
9,6,10,lemon,No,Somewhat,24.54
11,10,12,chocolate,No,Somewhat,24.24
6,7,7,vanilla,No,Somewhat,10.89
9,13,8,vanilla,Yes,Somewhat,33.11
8,6,11,vanilla,No,Somewhat,12.67
10,7,4,chocolate,No,Somewhat,39.63
11,7,12,vanilla,No,Somewhat,25.87
7,9,8,lemon,No,Somewhat,36.11
11,6,12,chocolate,No,Somewhat,24.6
7,12,11,marzipan,Yes,Somewhat,13.97
14,7,8,chocolate,No,Somewhat,59.75
7,7,8,chocolate,No,Very,13.02
9,12,11,chocolate,Yes,Somewhat,28.78
11,9,12,lemon,Yes,No,8.05
9,4,10,chocolate,No,Somewhat,12.83
13,8,9,strawberry,No,Somewhat,75.71
13,14,8,lemon,Yes,No,48.44
6,5,4,chocolate,No,No,9.93
13,9,9,lemon,No,No,83.87
6,7,11,strawberry,No,Somewhat,5.54
4,6,5,chocolate,No,Somewhat,5.18
12,7,11,chocolate,No,Somewhat,42.8
10,7,9,chocolate,No,Somewhat,42.63
11,8,6,vanilla,No,No,52.16
10,9,10,vanilla,No,No,19.25
14,8,11,vanilla,No,No,42.71
12,8,10,vanilla,No,Somewhat,37.29
12,5,7,lemon,No,Somewhat,32.9
8,8,8,vanilla,No,Somewhat,18.58
5,4,10,chocolate,No,No,3.21
10,5,10,vanilla,No,No,13.15
8,7,8,chocolate,No,Somewhat,19.44
9,8,11,vanilla,No,Very,13.18
9,6,7,marzipan,No,No,20.52
7,8,6,chocolate,No,Somewhat,24.82
11,9,9,chocolate,No,Somewhat,61.54
5,5,9,chocolate,No,Somewhat,4.76
13,8,10,vanilla,No,Very,36.37
8,7,8,chocolate,No,No,23.08
11,5,6,chocolate,No,No,29.38
8,6,10,chocolate,No,Somewhat,17.71
11,10,12,vanilla,No,No,26.51
5,10,5,strawberry,Yes,Somewhat,11.8
7,6,8,chocolate,No,No,15.12
8,8,11,chocolate,No,Somewhat,17.16
9,12,9,vanilla,Yes,No,13.86
12,7,7,strawberry,No,No,57.04
9,7,6,chocolate,No,Somewhat,40.82
4,4,8,vanilla,No,Somewhat,2.56
12,6,6,chocolate,No,Somewhat,43.2
8,4,6,vanilla,No,Somewhat,18.36
9,10,6,vanilla,Yes,Somewhat,27.27
8,8,9,vanilla,No,Somewhat,22.54
10,9,4,vanilla,No,Somewhat,40.28
12,5,7,chocolate,No,Somewhat,61.95
7,5,9,vanilla,No,No,10.9
9,10,8,marzipan,No,Somewhat,41.73
11,7,6,chocolate,No,No,70.81
10,8,7,vanilla,No,No,38.86
4,7,9,vanilla,No,Somewhat,4.0
9,11,11,vanilla,Yes,No,11.3
10,8,6,vanilla,No,No,25.66
5,6,11,vanilla,No,No,2.51
6,7,6,strawberry,No,No,16.25
10,8,7,vanilla,Yes,Somewhat,32.89
12,7,5,marzipan,No,Somewhat,64.26
13,9,10,vanilla,No,No,60.15
9,11,9,vanilla,Yes,No,10.68
12,8,4,vanilla,No,Somewhat,50.24
11,5,12,lemon,No,Very,14.64
10,4,8,vanilla,No,No,21.67
11,7,7,vanilla,No,Somewhat,48.08
13,7,9,vanilla,No,Somewhat,72.38
13,8,6,chocolate,No,No,97.27
7,6,5,coffee,No,Somewhat,19.78
6,4,7,marzipan,No,Somewhat,8.16
14,9,11,chocolate,No,No,63.5
10,9,5,vanilla,No,Somewhat,48.65
11,12,10,strawberry,Yes,No,18.41
6,6,7,chocolate,No,No,8.24
6,5,12,chocolate,No,No,2.62
14,8,11,chocolate,No,Very,31.3
7,4,9,vanilla,No,Somewhat,10.51
6,6,8,vanilla,No,Somewhat,8.44
4,5,8,chocolate,No,No,3.84
8,6,6,vanilla,No,Somewhat,24.49
11,7,12,vanilla,No,Somewhat,25.93
9,5,10,strawberry,No,Somewhat,13.51
9,7,5,chocolate,No,Very,22.33
12,6,11,vanilla,No,Very,13.71
10,6,9,lemon,No,No,38.92
11,8,7,strawberry,No,No,38.65
12,8,9,chocolate,No,Somewhat,56.35
6,4,8,chocolate,No,No,8.44
12,9,10,vanilla,No,Somewhat,62.21
11,5,8,vanilla,No,No,22.73
4,7,9,lemon,No,Somewhat,8.08
5,11,6,strawberry,Yes,No,5.71
12,10,11,lemon,No,Somewhat,39.44
10,9,11,vanilla,No,Somewhat,25.2
5,5,7,chocolate,No,Somewhat,7.91
7,8,8,strawberry,No,No,10.21
10,8,8,strawberry,No,Somewhat,49.53
13,10,9,strawberry,No,Somewhat,56.72
12,9,6,vanilla,No,No,65.3
9,7,8,vanilla,No,No,27.46
5,7,7,vanilla,No,No,6.97
12,10,5,chocolate,Yes,Somewhat,83.01
7,5,6,chocolate,No,Somewhat,10.76
9,8,5,vanilla,No,Somewhat,34.61
6,6,10,strawberry,No,No,8.32
7,8,8,lemon,No,No,28.39
9,5,5,chocolate,No,No,28.21
13,8,9,chocolate,No,No,51.07
9,7,4,lemon,No,Somewhat,47.26
11,7,6,chocolate,No,Very,33.28
4,5,7,vanilla,No,Very,3.02
10,8,10,strawberry,No,Somewhat,21.11
7,10,7,chocolate,No,Somewhat,33.54
12,10,8,vanilla,No,Somewhat,91.97
12,8,12,chocolate,No,Somewhat,33.09
12,6,7,chocolate,No,Somewhat,63.0
11,9,9,chocolate,Yes,Somewhat,26.64
8,7,9,chocolate,No,Somewhat,18.56
11,7,5,chocolate,No,No,50.25
8,9,10,lemon,No,No,17.64
12,7,6,chocolate,No,No,72.29
11,9,7,chocolate,Yes,Somewhat,33.96
10,8,12,vanilla,No,Somewhat,17.8
8,8,7,vanilla,No,No,22.16
11,9,8,chocolate,Yes,Somewhat,43.7
8,12,10,chocolate,Yes,No,10.99
10,6,7,vanilla,No,Somewhat,46.89
12,5,8,vanilla,No,Somewhat,31.19
9,6,6,chocolate,No,No,24.0
6,7,10,chocolate,No,Somewhat,7.84
13,6,7,chocolate,No,Somewhat,64.99
4,4,10,chocolate,No,Very,1.43
10,5,9,vanilla,No,No,19.95
7,8,7,chocolate,No,Somewhat,15.59
7,10,5,strawberry,No,No,18.89
4,4,5,vanilla,No,No,1.56
10,11,8,vanilla,Yes,Very,55.2
5,8,10,chocolate,No,Somewhat,6.73
7,4,7,vanilla,No,Somewhat,13.51
10,4,8,chocolate,No,No,22.46
6,7,5,lemon,No,Somewhat,12.8
9,5,9,chocolate,No,Somewhat,22.51
6,8,8,lemon,No,Very,19.02
7,6,6,chocolate,No,Somewhat,16.39
7,8,8,vanilla,No,No,13.8
8,8,10,lemon,No,No,18.58
9,5,4,vanilla,No,No,15.96
11,8,10,chocolate,No,No,38.25
6,7,10,lemon,No,No,11.89
13,7,9,vanilla,No,No,29.71
10,5,9,strawberry,No,Somewhat,13.78
13,9,7,chocolate,No,Somewhat,95.82
13,7,9,chocolate,No,No,32.84
9,6,12,strawberry,No,Somewhat,9.84
5,8,7,chocolate,No,Somewhat,13.35
5,7,10,vanilla,No,Somewhat,5.94
11,12,9,chocolate,Yes,Somewhat,67.15
5,10,4,chocolate,Yes,No,3.54
9,6,5,vanilla,No,Somewhat,28.51
12,7,5,marzipan,No,No,28.66
6,7,5,vanilla,No,Somewhat,17.71
7,5,11,chocolate,No,No,7.78
14,10,5,lemon,No,No,148.93
11,5,8,vanilla,No,No,28.66
14,7,9,vanilla,No,No,30.8
7,11,11,marzipan,Yes,Somewhat,12.74
9,7,8,vanilla,No,Somewhat,22.92
7,8,12,chocolate,No,Somewhat,10.27
12,12,6,chocolate,Yes,Very,112.86
11,8,4,vanilla,No,Somewhat,54.99
11,6,9,strawberry,No,No,30.16
7,10,7,vanilla,No,No,33.19
9,4,12,strawberry,No,No,7.06
8,4,8,marzipan,No,Somewhat,10.16
13,12,7,chocolate,Yes,Somewhat,98.05
6,11,12,vanilla,Yes,Very,9.32
14,10,5,vanilla,No,No,105.95
11,5,7,chocolate,No,Somewhat,25.03
7,5,7,lemon,No,Somewhat,19.43
6,7,11,vanilla,No,Somewhat,8.26
10,5,7,chocolate,No,Somewhat,21.87
7,7,7,strawberry,No,Somewhat,23.28
9,5,8,vanilla,No,No,19.44
11,6,7,strawberry,No,Somewhat,37.14
5,8,10,chocolate,No,Somewhat,7.67
11,8,7,vanilla,No,No,47.24
11,5,8,chocolate,No,No,35.31
12,8,9,lemon,No,No,38.77
12,7,6,vanilla,No,No,45.4
14,13,9,chocolate,Yes,Somewhat,108.6
9,8,6,vanilla,No,No,28.07
10,9,9,chocolate,No,Somewhat,44.15
7,7,7,chocolate,No,No,19.78
5,7,9,chocolate,No,Somewhat,6.39
4,6,9,lemon,No,Very,5.24
8,13,9,chocolate,Yes,No,8.75
11,9,11,chocolate,No,Somewhat,47.92
5,5,5,chocolate,No,Somewhat,7.24
5,5,8,chocolate,No,Somewhat,5.28
12,7,11,vanilla,No,Somewhat,36.0
5,9,6,chocolate,Yes,No,4.5
7,6,11,chocolate,No,Somewhat,8.64
7,5,12,strawberry,No,Somewhat,6.73
6,7,6,chocolate,No,Somewhat,21.38
12,6,10,vanilla,No,Somewhat,27.86
8,12,9,vanilla,Yes,Somewhat,28.03
11,6,9,strawberry,No,No,16.28
10,6,8,chocolate,No,Somewhat,25.96
6,6,9,marzipan,No,Somewhat,6.75
11,7,6,chocolate,No,Somewhat,71.15
10,7,8,chocolate,No,No,25.13
6,6,7,strawberry,No,Somewhat,11.81
12,6,5,vanilla,No,Somewhat,59.53
6,7,10,vanilla,No,Somewhat,11.23
12,8,10,chocolate,No,Somewhat,37.42
9,9,5,strawberry,No,Somewhat,36.33
14,7,8,lemon,No,Somewhat,84.86
6,4,7,vanilla,No,Very,9.76
5,4,7,chocolate,No,Somewhat,8.63
6,7,7,vanilla,No,No,12.85
10,7,10,chocolate,No,Somewhat,34.47
9,4,9,lemon,No,Somewhat,24.39
9,8,12,lemon,No,No,20.53
9,6,7,chocolate,No,Somewhat,32.34
11,10,6,chocolate,Yes,Very,88.44
9,5,6,coffee,No,Very,36.72
11,8,8,strawberry,No,No,41.77
10,9,10,vanilla,No,Somewhat,33.95
10,7,7,strawberry,No,No,28.0
12,8,8,chocolate,No,Somewhat,60.67
7,7,9,chocolate,No,Somewhat,15.62
6,8,10,vanilla,No,No,8.25
11,7,4,strawberry,No,Very,32.33
10,9,8,chocolate,No,No,45.56
11,9,7,chocolate,No,No,48.92
10,7,6,vanilla,No,Somewhat,48.72
7,6,7,chocolate,No,Very,19.63
5,5,6,chocolate,No,Somewhat,9.22
12,6,7,lemon,No,No,40.62
12,8,5,strawberry,No,No,41.54
10,8,9,marzipan,No,Somewhat,44.07
13,6,10,chocolate,No,Somewhat,43.93
12,7,8,chocolate,No,Somewhat,40.6
14,9,8,strawberry,No,Somewhat,56.83
11,5,4,strawberry,No,No,19.2
7,7,5,chocolate,No,No,12.31
11,11,8,chocolate,Yes,Very,62.28
11,7,8,chocolate,No,No,36.87
9,10,7,vanilla,Yes,No,19.09
6,11,10,chocolate,Yes,Somewhat,14.2
5,5,7,chocolate,No,No,8.18
5,7,6,vanilla,No,Somewhat,9.74
10,8,7,vanilla,No,Somewhat,52.36
9,7,4,vanilla,No,Very,20.3
8,7,5,chocolate,No,Somewhat,24.84
10,9,9,vanilla,No,Very,35.28
9,7,8,vanilla,No,Somewhat,27.22
6,12,7,chocolate,Yes,Somewhat,14.48
8,7,6,strawberry,No,Somewhat,29.5
9,10,5,lemon,No,Somewhat,44.12
11,7,5,vanilla,No,No,27.09
14,7,8,chocolate,No,Somewhat,85.32
8,6,12,vanilla,No,No,6.86
9,10,8,marzipan,No,No,28.09
5,5,10,vanilla,No,Somewhat,6.0
4,5,7,strawberry,No,Somewhat,4.95
13,9,9,vanilla,No,Somewhat,48.35
14,10,6,chocolate,No,No,163.88
5,6,9,chocolate,No,No,6.96
8,7,8,vanilla,No,No,15.63
12,8,6,vanilla,No,Somewhat,83.52
9,6,9,vanilla,No,No,21.65
7,6,6,chocolate,No,Somewhat,17.4
12,9,7,lemon,No,No,46.26
13,8,7,vanilla,No,No,80.01
13,9,9,strawberry,No,Somewhat,58.56
13,8,12,vanilla,No,Somewhat,30.55
12,8,9,chocolate,No,Very,50.85
6,8,4,lemon,No,Somewhat,16.93
6,8,7,vanilla,No,Somewhat,11.14
11,10,8,vanilla,No,No,43.24
11,11,9,chocolate,Yes,Somewhat,53.36
12,7,11,chocolate,No,Somewhat,31.94
11,6,6,vanilla,No,No,35.14
12,7,10,strawberry,No,Somewhat,42.17
7,9,8,vanilla,Yes,Very,22.66
7,9,6,lemon,No,No,19.4
9,7,9,chocolate,No,Somewhat,34.13
7,6,7,strawberry,No,Somewhat,17.34
12,7,11,chocolate,No,No,34.96
5,6,6,vanilla,No,No,8.29
6,8,8,chocolate,No,Very,12.79
6,6,11,vanilla,No,No,5.23
13,7,7,vanilla,No,Somewhat,77.24
7,4,10,chocolate,No,No,4.45
10,7,5,chocolate,No,Somewhat,49.97
5,4,8,chocolate,No,Very,2.39
9,8,10,vanilla,No,Somewhat,24.49
8,9,6,chocolate,No,No,48.97
6,4,9,chocolate,No,No,4.37
5,8,7,strawberry,No,Somewhat,15.13
6,6,4,strawberry,No,Very,8.22
5,6,7,chocolate,No,Somewhat,9.39
5,4,6,vanilla,No,Very,5.68
7,8,7,chocolate,No,No,14.08
8,6,10,strawberry,No,No,10.4
10,6,6,lemon,No,Somewhat,36.12
8,6,9,lemon,No,Somewhat,20.53
10,5,10,vanilla,No,Very,13.47
9,9,12,vanilla,No,Very,14.84
8,6,6,chocolate,No,Somewhat,23.22
11,4,11,strawberry,No,Somewhat,13.55
7,10,11,strawberry,Yes,No,5.9
5,4,8,vanilla,No,Somewhat,5.38
11,7,6,vanilla,No,No,37.58
8,5,8,marzipan,No,Somewhat,10.27
12,6,6,vanilla,No,Somewhat,57.95
10,6,7,vanilla,No,Very,32.35
14,7,12,strawberry,No,Somewhat,38.39
14,10,5,vanilla,No,No,70.7
4,4,11,strawberry,No,Somewhat,2.46
13,9,5,lemon,No,Somewhat,107.06
5,8,10,vanilla,No,No,6.45
12,8,5,strawberry,No,Somewhat,57.96
14,7,10,vanilla,No,No,44.71
9,6,10,lemon,No,Somewhat,14.46
8,7,10,vanilla,No,No,15.15
10,13,9,chocolate,Yes,Somewhat,39.56
8,7,8,chocolate,No,Somewhat,25.65
7,5,7,vanilla,No,Somewhat,12.96
9,7,7,chocolate,No,No,28.12
10,9,11,strawberry,No,Somewhat,25.4
11,8,9,chocolate,Yes,Somewhat,18.41
11,6,10,vanilla,No,Somewhat,23.62
12,8,6,lemon,No,No,98.03
6,6,10,lemon,No,Very,6.08
13,6,6,chocolate,No,No,50.9
11,7,8,lemon,No,No,40.75
14,10,5,lemon,No,Very,123.61
11,9,7,chocolate,No,No,39.13
9,10,8,vanilla,No,No,39.74
11,13,9,vanilla,Yes,Somewhat,67.7
12,6,12,marzipan,No,Somewhat,15.68
5,6,7,vanilla,No,Somewhat,9.07
12,7,7,chocolate,No,Somewhat,70.06
10,6,7,strawberry,No,Very,37.93
11,8,9,vanilla,No,No,36.1
6,5,10,lemon,No,Somewhat,7.82
8,8,7,lemon,No,Somewhat,32.63
9,8,5,lemon,No,No,25.78
7,4,7,chocolate,No,No,14.52
9,4,6,chocolate,No,Somewhat,20.35
6,7,5,vanilla,No,No,10.25
5,7,5,lemon,No,Somewhat,8.37
11,9,6,chocolate,Yes,Somewhat,49.04
12,6,9,marzipan,No,Somewhat,47.0
11,7,4,chocolate,No,Very,37.05
7,5,9,strawberry,No,Somewhat,11.13
5,6,8,vanilla,No,No,8.13
7,7,6,chocolate,No,No,12.42
5,5,8,chocolate,No,No,4.03
5,8,7,chocolate,No,Somewhat,9.82
6,7,8,chocolate,No,No,15.22
10,9,9,strawberry,No,Somewhat,34.19
13,8,5,vanilla,No,No,68.85
9,11,6,chocolate,Yes,Very,68.85
11,14,10,chocolate,Yes,No,32.05
13,8,10,vanilla,No,Somewhat,62.37
6,6,5,vanilla,No,Somewhat,16.7
12,6,9,lemon,No,No,28.39
12,10,6,chocolate,No,No,69.02
12,8,7,vanilla,No,No,49.77
10,8,5,vanilla,No,Somewhat,57.31
9,6,9,marzipan,No,Somewhat,18.98
8,13,7,vanilla,Yes,No,22.53
12,8,7,chocolate,No,Somewhat,67.54
13,8,7,vanilla,No,Somewhat,54.63
12,9,6,chocolate,No,No,91.42
10,7,6,marzipan,No,Somewhat,49.35
5,7,8,strawberry,No,No,4.43
13,8,8,strawberry,No,No,75.6
14,9,9,chocolate,No,No,103.43
11,4,10,chocolate,No,Somewhat,20.62
8,8,9,chocolate,No,No,21.97
5,6,7,chocolate,No,Very,6.22
12,6,7,lemon,No,Somewhat,62.21
9,8,6,marzipan,No,No,34.83
5,4,6,vanilla,No,No,6.3
13,9,8,strawberry,No,Very,60.48
6,5,7,vanilla,No,Somewhat,7.41
6,8,8,strawberry,No,No,12.53
5,5,6,chocolate,No,Very,5.99
10,8,7,lemon,No,Somewhat,76.1
5,8,8,chocolate,No,Somewhat,8.64
10,6,8,vanilla,No,Somewhat,28.8
13,14,10,strawberry,Yes,No,32.51
11,13,10,lemon,Yes,No,28.56
6,5,10,chocolate,No,Somewhat,5.02
8,9,9,vanilla,Yes,No,5.24
9,10,9,vanilla,No,No,31.52
11,12,10,vanilla,Yes,Somewhat,41.13
6,4,11,chocolate,No,Very,3.77
10,5,11,chocolate,No,Somewhat,16.63
10,9,8,vanilla,No,No,48.0
7,5,7,chocolate,No,No,10.37
10,8,9,lemon,No,No,24.61
10,5,6,vanilla,No,Somewhat,27.33
7,9,10,lemon,No,Very,21.47
6,6,8,chocolate,No,Somewhat,11.56
13,9,10,chocolate,No,No,57.49
5,6,6,lemon,No,No,13.29
5,5,7,lemon,No,No,8.49
6,9,9,chocolate,No,Somewhat,12.78
10,6,4,vanilla,No,No,25.44
14,8,6,chocolate,No,No,84.83
14,9,12,chocolate,No,Somewhat,44.6
5,8,7,chocolate,No,Somewhat,16.16
12,8,8,lemon,No,Very,37.15
11,7,8,vanilla,No,No,33.72
11,9,5,chocolate,No,Somewhat,64.33
9,5,10,vanilla,No,Somewhat,16.46
11,7,8,vanilla,No,Very,33.92
8,4,6,chocolate,No,Somewhat,17.89
6,7,9,vanilla,No,No,7.55
11,6,9,marzipan,No,Somewhat,35.52
4,7,5,lemon,No,No,6.14
8,7,10,chocolate,No,Very,9.48
6,6,7,lemon,No,No,12.15
9,9,5,vanilla,Yes,Somewhat,26.21
5,8,10,chocolate,No,No,8.74
7,7,6,strawberry,No,No,13.12
4,6,8,strawberry,No,Somewhat,3.89
12,8,7,chocolate,No,No,55.6
12,6,8,vanilla,No,Somewhat,31.0
7,7,5,chocolate,No,Somewhat,24.12
12,6,7,vanilla,No,Somewhat,42.72
9,7,7,lemon,No,No,28.46
8,7,10,vanilla,No,Somewhat,20.24
12,5,7,vanilla,No,Somewhat,57.66
6,7,7,chocolate,No,No,12.57
12,6,5,strawberry,No,No,45.68
4,7,6,chocolate,No,No,10.58
13,13,9,chocolate,Yes,No,42.62
8,13,7,lemon,Yes,No,23.25
14,7,6,chocolate,No,No,115.16
8,7,7,chocolate,No,Somewhat,35.64
12,5,10,vanilla,No,No,23.39
4,6,11,chocolate,No,No,3.37
8,4,8,chocolate,No,Somewhat,12.67
9,6,8,strawberry,No,Somewhat,15.49
11,7,9,lemon,No,Somewhat,29.64
11,8,9,chocolate,No,Somewhat,53.87
13,8,9,vanilla,No,Somewhat,72.17
9,6,8,lemon,No,No,17.21
12,10,5,vanilla,No,Somewhat,103.46
8,10,8,chocolate,No,Very,25.36
14,8,6,chocolate,No,Somewhat,113.33
11,8,5,strawberry,No,Somewhat,47.77
14,9,8,strawberry,No,Somewhat,123.9
